title,artist,album,duration,file_url
Yaar Bina Chain Kahan Re (Saheeb)-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Yaar%20Bina%20Chain%20Kahan%20Re%20(Saheeb)-VariousRaag.Me.mp3
Tumsa Koi Pyaara_@Magic Card,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/TUMSA%20KOI%20PYAARA_%40magic%20card.MP3
Dil Ke Arma Anshuo Mein-Salma Agha,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Dil%20Ke%20Arma%20Anshuo%20Mein-Salma%20AghaRaag.Me.mp3
Aaj Main Upar-Kumar Sanu,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Aaj%20Main%20Upar-Kumar%20SanuRaag.Me.mp3
Angreji Mein Kethe Hain-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Angreji%20Mein%20Kethe%20Hain-VariousRaag.Me.mp3
Lahoo Ke Do Rang - Muskurata Hua,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Lahoo%20Ke%20Do%20Rang%20-%20Muskurata%20Hua.mp3
Pyar Dilon Ka Mela Hai,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Pyar%20dilon%20ka%20mela%20hai.mp3
Dheere Dheere Bol Koi Sun Na Le-(Mr-Jatt.Com),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Dheere%20Dheere%20Bol%20Koi%20Sun%20Na%20Le-(Mr-Jatt.com).mp3
Maine_Tujhe_Khat_Likha-Lata_Mangeshkar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Maine_Tujhe_Khat_Likha-Lata_Mangeshkar-www.Mp3Mad.Com.mp3
Aap Jaisa Koi Meri Zindagi-Nazia Hassan,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Aap%20Jaisa%20Koi%20Meri%20Zindagi-Nazia%20HassanRaag.Me.mp3
Malyachya Malyamandi Kon Ga(Vipmarathi.Com),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Malyachya%20Malyamandi%20Kon%20Ga(VipMarathi.Com).mp3
Parde Mein Rahne Do (Shikar 1968)-Asha Bhosle(1),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Parde%20Mein%20Rahne%20Do%20(Shikar%201968)-Asha%20BhosleRaag.Me(1).mp3
Jawani Jan E Man-Asha Bhosle,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Jawani%20Jan%20E%20Man-Asha%20BhosleRaag.Me.mp3
Tota Mera Tota Main To(Aaj Ka Goondaraaj),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Tota%20Mera%20Tota%20Main%20To(Aaj%20ka%20Goondaraaj).mp3
Aadmi - Dhak Dhak Dil Mera,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/08.%20Aadmi%20-%20Dhak%20Dhak%20Dil%20Mera.mp3
Haat_Naka_Lavu_Majhay_Saadila(Vipmarathi.Com),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Haat_Naka_Lavu_Majhay_Saadila(VipMarathi.Com).mp3
Jaati Hoon Mein,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Jaati%20Hoon%20Mein.mp3
Why This Kolaveri Di-Dhanush 48,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Why%20This%20Kolaveri%20Di-Dhanush%2048%20Raag.Me.mp3
Janta Ki Adalat - Dil Dhadkane Ka,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/34.%20Janta%20Ki%20Adalat%20-%20Dil%20Dhadkane%20Ka.mp3
Raat Baki Baat Baki-Bappi Lahri(1),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Raat%20Baki%20Baat%20Baki-Bappi%20LahriRaag.Me(1).mp3
Ye_Dil_Na_Hota_Bechara-Kishore_Kumar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Ye_Dil_Na_Hota_Bechara-Kishore_Kumar%20www.Mp3MaD.Com%20.mp3
Wada Raha-Udit Narayan,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Wada%20Raha-Udit%20NarayanRaag.Me.mp3
Bachke Rehna Re Baba-Various,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Bachke%20Rehna%20Re%20Baba-VariousRaag.Me.mp3
Chalte Chalte - Title,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Chalte%20Chalte%20-%20Title.mp3
Aashiqui - Ab Tere Bin,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/025%20%20AASHIQUI%20-%20AB%20TERE%20BIN.mp3
Andheri Raaton Mein(Wapking),,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Andheri%20Raaton%20Mein(WapKing).mp3
Vansh = Aake Teri Bahon Mein,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/01%20VANSH%20%3D%20AAKE%20TERI%20BAHON%20MEIN%20.mp3
Jub Hum Jawan Honge-Lata Mangeshkar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Jub%20Hum%20Jawan%20Honge-Lata%20MangeshkarRaag.Me.mp3
Ang,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/ANG.MP3
Teredarpersanam,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/teredarpersanam.mp3
Suraj Hua Maddham,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Suraj%20Hua%20Maddham.mp3
Yeh Sama Sama Hai Yeh Pyar Ka-Lata Mangeshkar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Yeh%20Sama%20Sama%20Hai%20Yeh%20Pyar%20Ka-Lata%20MangeshkarRaag.Me.mp3
Churake Dil Mera,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/01%20-%20%20Churake%20Dil%20Mera%20-%20DownloadMing.SE.mp3
Mere+Humsafar,,,,https://yahvtknxmmanxaepxzry.supabase.co/storage/v1/object/public/music/Mere%2BHumsafar.mp3
